,Generation,Sequence,Ground_state,Cost
0,1,24321122113231,0.111,-1.125
1,2,24321122113231,0.105,-1.117
2,3,24321122113231,0.115,-1.13
3,4,24321122153211,0.105,-1.117
4,5,11121122153211,0.135,-1.156
5,6,11121112142211,0.149,-1.175
6,7,11121112142211,0.171,-1.206
7,8,11122412112111,0.159,-1.189
8,9,11121412112311,0.149,-1.175
9,10,11121412112311,0.175,-1.212
10,11,11121412112311,0.173,-1.209
11,12,11121412112311,0.171,-1.206
12,13,14123412112311,0.133,-1.153
13,14,12113411112311,0.165,-1.197
14,15,12313121112311,0.133,-1.153
