,i,Seq,ground_state,cost
0,3,22213231222132312221323122213231222132312212121121121131,0.1467065868263474,-1.1719298245614036
1,4,2221323122213231222132312221323122213231221212112112113111113421243111,0.30039920159680644,-1.4293865905848788
2,5,222132312221323122213231222132312221323122121211211211311111342124311111353511311124,0.3083832335329342,-1.445887445887446
3,6,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111,0.37624750499002,-1.6032000000000002
4,7,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135,0.4021956087824352,-1.6727879799666112
5,8,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311,0.37425149700598803,-1.598086124401914
6,9,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121,0.4640718562874252,-1.8659217877094973
7,10,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114,0.47005988023952094,-1.887005649717514
8,11,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221,0.46007984031936133,-1.8521256931608134
9,12,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121133212113411141233153111222114241131111421,0.5059880239520959,-2.0242424242424244
10,13,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114123315311122211424113111142123153325312511,0.4780439121756487,-1.915869980879541
11,14,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221142411311114212315332531251121311213122111,0.5299401197604791,-2.127388535031847
12,15,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121133212113411141233153111222114241131111421231533253125112131121312211115123211122111,0.5179640718562875,-2.0745341614906834
13,16,2221323122213231222132312221323122213231221212112112113111113421243111113535113111241421111121311131211114351135113431321133112521312511312113321211341114123315311122211424113111142123153325312511213112131221111512321112211132113231112411,0.5618762475049901,-2.2824601366742603
14,17,222132312221323122213231222132312221323122121211211211311111342124311111353511311124142111112131113121111435113511343132113311252131251131211332121134111412331531112221142411311114212315332531251121311213122111151232111221113211323111241121133531231521,0.5339321357285429,-2.145610278372591
15,18,22213231222132312221323122213231222132312212121121121131111134212431111135351131112414211111213111312111143511351134313211331125213125113121133212113411141233153111222114241131111421231533253125112131121312211115123211122111321132311124112113353123152132213311213111,0.5958083832335329,-2.474074074074074
