,Generation,Sequence,Ground_state,Cost
0,1,1254723,0.55,-2.242
1,2,1836721,0.56,-2.282
2,3,1471116,0.56,-2.272
3,4,1143111,0.56,-2.293
4,5,1185113,0.58,-2.358
5,6,1151111,0.57,-2.347
6,7,1145111,0.56,-2.293
7,8,1143113,0.56,-2.272
8,9,1143113,0.57,-2.314
9,10,1142111,0.56,-2.272
10,11,1113113,0.56,-2.262
11,12,1113113,0.59,-2.426
12,13,1113112,0.56,-2.282
13,14,1112112,0.58,-2.358
14,15,1113118,0.55,-2.232
15,16,1113118,0.58,-2.391
16,17,1111118,0.57,-2.347
17,18,1111118,0.55,-2.232
18,19,1111113,0.56,-2.262
19,20,1111111,0.57,-2.336
