,Generation,Sequence,Ground_state,Cost
0,1,22121111222123,0.45,-1.815
1,2,23111212111311,0.46,-1.849
2,3,11131111122113,0.45,-1.818
3,4,21131113142212,0.46,-1.842
4,5,11131112111111,0.46,-1.845
5,6,11111321111111,0.46,-1.842
6,7,11111321111111,0.47,-1.869
7,8,21131211111311,0.46,-1.866
8,9,21131211111311,0.46,-1.835
9,10,11111121111111,0.49,-1.953
10,11,11111111111111,0.46,-1.862
11,12,21111311111311,0.49,-1.942
12,13,11111121111311,0.48,-1.927
13,14,11111121111311,0.47,-1.876
14,15,11111111111311,0.46,-1.835
