,Generation,Sequence,Ground_state,Cost
0,1,12112111222113,0.47,-1.901
1,2,11112111222111,0.48,-1.923
2,3,11112111212111,0.47,-1.887
3,4,11112111212111,0.48,-1.905
4,5,11112111212111,0.51,-2.041
5,6,11112111212111,0.48,-1.938
6,7,11112111112111,0.49,-1.961
7,8,11112111112111,0.49,-1.965
8,9,11112111112111,0.48,-1.927
9,10,11112111111111,0.49,-1.969
10,11,11112111111111,0.47,-1.883
11,12,11112111111111,0.48,-1.908
12,13,11112111111111,0.48,-1.938
13,14,11112111111111,0.49,-1.969
14,15,11112111111111,0.48,-1.923
