,Generation,Sequence,Ground_state,Cost
0,1,21211123132121,0.41,-1.707
1,2,21131123241112,0.43,-1.749
2,3,21212113111121,0.44,-1.792
3,4,11212121111123,0.45,-1.819
4,5,11112121111124,0.47,-1.88
5,6,21112111111114,0.45,-1.812
6,7,11112111111111,0.44,-1.773
7,8,11112111111111,0.43,-1.755
8,9,11112111111111,0.44,-1.786
9,10,11112111111111,0.44,-1.799
10,11,11113111111111,0.42,-1.719
11,12,11113113111111,0.42,-1.737
12,13,11113113111111,0.44,-1.773
13,14,11113111111111,0.44,-1.792
14,15,11113111111111,0.43,-1.761
15,16,11113111111111,0.43,-1.749
16,17,11113113111111,0.43,-1.749
17,18,11113111111111,0.44,-1.792
18,19,11113113111111,0.45,-1.819
19,20,11113113111111,0.45,-1.825
