,Generation,Sequence,Ground_state,Cost
0,1,11221313131123,0.28,-1.386
1,2,11221313111111,0.29,-1.413
2,3,11221324111312,0.3,-1.438
3,4,21221313111123,0.29,-1.401
4,5,11241313111312,0.31,-1.454
5,6,11111213111112,0.29,-1.409
6,7,11111311111111,0.27,-1.374
7,8,11111211111123,0.29,-1.405
8,9,11111211111123,0.26,-1.349
9,10,11111111111122,0.26,-1.36
10,11,11111111111111,0.25,-1.334
11,12,11111111111111,0.28,-1.39
12,13,11111111111111,0.29,-1.417
13,14,11111111111111,0.27,-1.371
14,15,11111111111111,0.27,-1.363
