,Generation,Sequence,Ground_state,Cost
0,1,8367478,0.18,-1.223
1,2,5686385,0.17,-1.203
2,3,8558258,0.17,-1.206
3,4,6873761,0.18,-1.22
4,5,4558361,0.19,-1.232
5,6,4851111,0.2,-1.251
6,7,8133211,0.19,-1.239
7,8,5321111,0.22,-1.29
8,9,5322211,0.19,-1.242
9,10,5322211,0.19,-1.242
10,11,4262211,0.21,-1.26
11,12,5322211,0.23,-1.293
12,13,5322211,0.22,-1.28
13,14,5323211,0.22,-1.283
14,15,5322211,0.2,-1.248
15,16,5322211,0.2,-1.254
16,17,5322211,0.21,-1.26
17,18,5322211,0.21,-1.267
18,19,5322211,0.19,-1.232
19,20,5322211,0.19,-1.242
