,Generation,Sequence,Ground_state,Cost
0,1,25568767637153,0.25,-1.327
1,2,55511777125111,0.32,-1.471
2,3,73811713854171,0.29,-1.413
3,4,44257115378181,0.27,-1.371
4,5,14741221411141,0.32,-1.467
5,6,11741615151161,0.3,-1.421
6,7,11741283151181,0.29,-1.401
7,8,31457685151181,0.32,-1.48
8,9,11421611151141,0.29,-1.401
9,10,11426811111181,0.29,-1.409
10,11,11421611111161,0.29,-1.413
11,12,11226811111181,0.29,-1.409
12,13,11421611111161,0.31,-1.45
13,14,11421611111161,0.29,-1.413
14,15,11221611111161,0.29,-1.417
15,16,11421611111181,0.28,-1.39
16,17,11226611111181,0.31,-1.446
17,18,11221615111161,0.29,-1.413
18,19,11226611111181,0.3,-1.421
19,20,11221611111181,0.28,-1.386
