,Generation,Sequence,Ground_state,Cost
0,1,12213235213111,0.21,-1.26
1,2,12213235213111,0.21,-1.273
2,3,12213235213111,0.19,-1.239
3,4,12213235213111,0.21,-1.26
4,5,12213235113111,0.23,-1.303
5,6,12213235113111,0.24,-1.317
6,7,12211235113111,0.21,-1.273
7,8,12211235113111,0.26,-1.356
8,9,12211235113111,0.21,-1.27
9,10,12211235113111,0.2,-1.257
10,11,12211235113111,0.21,-1.26
11,12,12211135113111,0.27,-1.363
12,13,12211135113111,0.25,-1.327
13,14,12211135113111,0.21,-1.273
14,15,11211135113111,0.25,-1.327
