,Generation,Sequence,Ground_state,Cost
0,1,21323122213322,0.16,-1.191
1,2,12232123132222,0.14,-1.161
2,3,21241424213231,0.13,-1.156
3,4,21142224213231,0.14,-1.164
4,5,24242421232223,0.14,-1.158
5,6,13231314132422,0.16,-1.191
6,7,13242221131223,0.15,-1.183
7,8,13232224132422,0.15,-1.183
8,9,13232214132422,0.15,-1.18
9,10,13231214132422,0.19,-1.232
10,11,13231314132222,0.15,-1.18
11,12,13242214132422,0.18,-1.223
12,13,13131224132222,0.16,-1.191
13,14,13242214132422,0.16,-1.191
14,15,13242214131422,0.14,-1.164
