,Generation,Sequence,Ground_state,Cost
0,1,22112113141114,0.47,-1.869
1,2,12112223112321,0.46,-1.862
2,3,21112423111112,0.46,-1.859
3,4,12112111141121,0.46,-1.862
4,5,23112111141121,0.47,-1.869
5,6,23111111111121,0.46,-1.849
6,7,21111111141121,0.46,-1.855
7,8,21111113111321,0.47,-1.88
8,9,13111111111121,0.47,-1.883
9,10,11111111111121,0.47,-1.873
10,11,11111111111121,0.47,-1.894
11,12,11111113111121,0.47,-1.869
12,13,11111111111121,0.47,-1.873
13,14,11111111111121,0.47,-1.883
14,15,11111111111121,0.48,-1.931
