,Generation,Sequence,Ground_state,Cost
0,1,24132123232424,0.14,-1.161
1,2,22121423222323,0.15,-1.177
2,3,21231424222112,0.15,-1.177
3,4,22211123232214,0.18,-1.226
4,5,14111414122212,0.18,-1.22
5,6,12132411222212,0.17,-1.212
6,7,12111411222321,0.19,-1.232
7,8,12111113122123,0.2,-1.257
8,9,12111424221121,0.2,-1.251
9,10,12111114121111,0.2,-1.257
10,11,12111414121121,0.2,-1.248
11,12,12121114121111,0.21,-1.267
12,13,12121111121311,0.2,-1.245
13,14,12121414121311,0.22,-1.29
14,15,12111411121111,0.2,-1.251
