,Generation,Sequence,Ground_state,Cost
0,1,1171637,0.49,-1.946
1,2,1121537,0.5,-2.0
2,3,1131216,0.5,-2.0
3,4,1131216,0.52,-2.092
4,5,1131113,0.52,-2.092
5,6,1181116,0.52,-2.101
6,7,1131616,0.53,-2.127
7,8,1171513,0.54,-2.164
8,9,1131517,0.51,-2.057
9,10,1181516,0.53,-2.109
10,11,1181516,0.51,-2.057
11,12,1181616,0.53,-2.127
12,13,1181518,0.52,-2.101
13,14,1181616,0.53,-2.118
14,15,1181616,0.52,-2.092
15,16,1181616,0.53,-2.127
16,17,1181116,0.52,-2.075
17,18,1181116,0.52,-2.101
18,19,1111116,0.51,-2.024
19,20,1111116,0.5,-2.0
