,Generation,Sequence,Ground_state,Cost
0,1,22211114323115,0.5,-2.008
1,2,22211114323115,0.47,-1.887
2,3,22211114222111,0.52,-2.101
3,4,22211114122111,0.51,-2.041
4,5,22211114122111,0.51,-2.041
5,6,22211114122111,0.52,-2.066
6,7,12211114122111,0.54,-2.155
7,8,12211113122111,0.5,-1.984
8,9,12211113122111,0.53,-2.127
9,10,12211213122111,0.47,-1.894
10,11,11211213122111,0.5,-2.016
11,12,31211213122111,0.55,-2.242
12,13,31111213122111,0.52,-2.066
13,14,31311213122111,0.51,-2.049
14,15,21311213122111,0.53,-2.127
