,Count,param,ground_state,nbarx,cost
0,1,[28.    0.3   0.06 32.   32.    1.    1.    1.    1.  ],0.7941176470588236,0.14,-4.8571428571428585
1,2,"[34.15974259  0.98340921  0.21635543 19.11066765 43.47403979  0.74756627
  0.32575138  0.07832761  0.66075158]",0.1470588235294118,8.28,-1.1724137931034484
2,3,"[2.71989586e+01 7.92613616e-02 3.68266263e-01 4.27490385e+01
 3.60783606e+01 1.41989317e-01 7.16871809e-01 5.57612553e-01
 2.82698238e-02]",0.029411764705882353,38.5,-1.0303030303030303
3,4,"[40.98041468  0.6626359   0.30848901 31.83253322 24.41411957  0.74840895
  0.40738657  0.97170456  0.19452424]",0.3235294117647059,13.98,-1.4782608695652173
4,5,"[28.87610329  0.48382953  0.44722485 25.31655576 48.98201136  0.55502047
  0.98363704  0.68973149  0.1163457 ]",0.2843137254901961,12.98,-1.397260273972603
5,6,"[21.61427926  0.34556248  0.86854193 46.86623917 28.21802753  0.18218734
  0.07337185  0.87068135  0.67662638]",0.00980392156862745,7.425,-1.00990099009901
6,7,"[25.37887436  0.93842598  0.44894603 26.8529749  47.75712504  0.93436837
  0.70339426  0.19775937  0.7220766 ]",0.3823529411764706,4.74,-1.619047619047619
7,8,"[25.96399538  0.77576568  0.83600044 27.86876029 39.50528323  0.9093845
  0.17428473  0.29878585  0.90623888]",0.1470588235294118,6.872340425531915,-1.1724137931034484
8,9,"[12.3178146   0.3308059   0.62375791 28.54055402 37.86237495  0.51054779
  0.70097008  0.96138628  0.2336638 ]",0.3823529411764706,5.94,-1.619047619047619
9,10,"[47.28368806  0.99283254  0.26828776 26.61315504 24.66234136  0.29812613
  0.8901077   0.05494693  0.6279414 ]",0.029411764705882353,46.52,-1.0303030303030303
10,11,"[26.29454862  0.40347151  0.40147852 18.42719039 27.46130727  0.19296856
  0.44559535  0.14356131  0.13469652]",0.00980392156862745,44.0625,-1.00990099009901
11,12,"[2.35287703e+01 2.54745063e-01 1.00000000e-02 2.67281630e+01
 2.91375510e+01 1.00000000e+00 1.00000000e+00 6.82181414e-01
 6.05244304e-01]",0.7549019607843137,0.82,-4.08
12,13,"[1.35677230e+01 1.00000000e-02 1.00000000e-02 2.71038076e+01
 1.00000000e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.06862745098039215,18.38,-1.0736842105263158
13,14,"[1.00000000e+01 7.10107469e-01 1.00000000e-02 4.13690048e+01
 1.04246737e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.6568627450980392,5.82,-2.914285714285714
14,15,"[2.80288993e+01 1.59524970e-02 5.56025834e-01 4.67803859e+01
 2.39041642e+01 8.07004998e-01 3.69808262e-01 6.41210358e-01
 6.40112194e-01]",0.006986027944111776,32.60042735042735,-1.007035175879397
15,16,"[29.76143931  0.37915433  0.06699626 33.13087888 32.15129877  1.
  1.          1.          1.        ]",0.8273453093812375,0.35671342685370744,-5.791907514450867
16,17,"[39.25172202  0.14893171  0.30625625 26.50597649 33.9962104   1.
  1.          1.          1.        ]",0.4860279441117764,1.734,-1.9456310679611648
17,18,"[3.18475866e+01 1.00000000e-02 1.00000000e-02 2.69864322e+01
 4.77477555e+01 1.00000000e+00 1.00000000e+00 1.00000000e-02
 6.46203000e-01]",0.07285429141716566,21.568,-1.0785791173304629
18,19,"[25.96508171  0.1336755   0.80077333 12.92115465 44.72766052  0.37817837
  0.3350694   0.90472194  0.2342965 ]",0.006986027944111776,13.861538461538462,-1.007035175879397
19,20,"[3.21133372e+01 6.77552255e-01 1.00000000e-02 3.86044924e+01
 3.06379952e+01 9.77635981e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8293413173652694,0.18,-5.859649122807015
20,21,"[2.85558892e+01 5.07081335e-01 3.28628157e-02 3.62353724e+01
 3.46850926e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8532934131736527,0.276,-6.816326530612245
